sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,configurable_variations,configurable_variation_prices,configurable_variation_labels,additional_images,related_skus,crosssell_skus,upsell_skus
MH01-XS-Black,,Default,simple,"Default Category/Men/Tops/Hoodies & Sweatshirts,Default Category/Collections/Eco Friendly,Default Category,Default Category/Destacado Home 1,Default Category/Destacado Home 2,Default Category/Destacado Home 3,Default Category/Destacado Home 4,Default Category/Destacado Home 5",base,Chaz Kangeroo Hoodie-XS-Black,"<p>Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.</p>
<p>&bull; Two-tone gray heather hoodie.<br />&bull; Drawstring-adjustable hood. <br />&bull; Machine wash/dry.</p>","Si lo que buscás es algo que combine con todo, que te haga lucir bien y te ofrezca comodidad para elegirla diariamente, te presentamos lo que buscas: Las Zapatillas adidas 8K",1,1,Taxable Goods,Not Visible Individually,52,,,,chaz-kangeroo-hoodie-xs-black,,,,/m/h/mh01-black_main.jpg,,/m/h/mh01-black_main.jpg,,/m/h/mh01-black_main.jpg,,,,,,,,,,,,,,,,,,,"has_options=0,required_options=0,size=XS,color=Black",100,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,1,,,,,"24-MB01,24-MB03,24-WB02,24-WG088,24-UG03,MH01-XS-Black,MH01-XS-Gray,MH01-XS-Orange","24-MB01,24-MB03,24-WB02,24-WG088,24-UG03,MH01-XS-Black,MH01-XS-Gray,MH01-XS-Orange","24-MB01,24-MB03,24-WB02,24-WG088,24-UG03,MH01-XS-Black,MH01-XS-Gray,MH01-XS-Orange"
MH01-XS-Gray,,Default,simple,"Default Category/Men/Tops/Hoodies & Sweatshirts,Default Category/Collections/Eco Friendly,Default Category,Default Category/Destacado Home 1,Default Category/Destacado Home 2,Default Category/Destacado Home 3,Default Category/Destacado Home 4,Default Category/Destacado Home 5",base,Chaz Kangeroo Hoodie-XS-Gray,"<p>Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.</p>
<p>&bull; Two-tone gray heather hoodie.<br />&bull; Drawstring-adjustable hood. <br />&bull; Machine wash/dry.</p>","Si lo que buscás es algo que combine con todo, que te haga lucir bien y te ofrezca comodidad para elegirla diariamente, te presentamos lo que buscas: Las Zapatillas adidas 8K",1,1,Taxable Goods,Not Visible Individually,52,,,,chaz-kangeroo-hoodie-xs-gray,,,,/m/h/mh01-gray_main.jpg,,/m/h/mh01-gray_main.jpg,,/m/h/mh01-gray_main.jpg,,,,,,,,,,,,,,,,,,,"has_options=0,required_options=0,size=XS,color=Gray",100,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,1,,,,"/m/h/mh01-gray_alt1.jpg,/m/h/mh01-gray_back.jpg","24-MB01,24-MB03,24-WB02,24-WG088,24-UG03,MH01-XS-Black,MH01-XS-Gray,MH01-XS-Orange","24-MB01,24-MB03,24-WB02,24-WG088,24-UG03,MH01-XS-Black,MH01-XS-Gray,MH01-XS-Orange","24-MB01,24-MB03,24-WB02,24-WG088,24-UG03,MH01-XS-Black,MH01-XS-Gray,MH01-XS-Orange"
MH01-XS-Orange,,Default,simple,"Default Category/Men/Tops/Hoodies & Sweatshirts,Default Category/Collections/Eco Friendly,Default Category",base,Chaz Kangeroo Hoodie-XS-Orange,"<p>Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.</p>
<p>&bull; Two-tone gray heather hoodie.<br />&bull; Drawstring-adjustable hood. <br />&bull; Machine wash/dry.</p>","Si lo que buscás es algo que combine con todo, que te haga lucir bien y te ofrezca comodidad para elegirla diariamente, te presentamos lo que buscas: Las Zapatillas adidas 8K",1,1,Taxable Goods,Not Visible Individually,52,,,,chaz-kangeroo-hoodie-xs-orange,,,,/m/h/mh01-orange_main.jpg,,/m/h/mh01-orange_main.jpg,,/m/h/mh01-orange_main.jpg,,,,,,,,,,,,,,,,,,,"has_options=0,required_options=0,size=XS,color=Orange",100,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,1,,,,,"24-MB01,24-MB03,24-WB02,24-WG088,24-UG03,MH01-XS-Black,MH01-XS-Gray,MH01-XS-Orange","24-MB01,24-MB03,24-WB02,24-WG088,24-UG03,MH01-XS-Black,MH01-XS-Gray,MH01-XS-Orange","24-MB01,24-MB03,24-WB02,24-WG088,24-UG03,MH01-XS-Black,MH01-XS-Gray,MH01-XS-Orange"
MH01-S-Black,,Default,simple,"Default Category/Men/Tops/Hoodies & Sweatshirts,Default Category/Collections/Eco Friendly,Default Category,Default Category/Destacado Home 1,Default Category/Destacado Home 2,Default Category/Destacado Home 3,Default Category/Destacado Home 4,Default Category/Destacado Home 5",base,Chaz Kangeroo Hoodie-S-Black,"<p>Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.</p>
<p>&bull; Two-tone gray heather hoodie.<br />&bull; Drawstring-adjustable hood. <br />&bull; Machine wash/dry.</p>","Si lo que buscás es algo que combine con todo, que te haga lucir bien y te ofrezca comodidad para elegirla diariamente, te presentamos lo que buscas: Las Zapatillas adidas 8K",1,1,Taxable Goods,Not Visible Individually,52,,,,chaz-kangeroo-hoodie-s-black,,,,/m/h/mh01-black_main.jpg,,/m/h/mh01-black_main.jpg,,/m/h/mh01-black_main.jpg,,,,,,,,,,,,,,,,,,,"has_options=0,required_options=0,size=S,color=Black",100,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,1,,,,,"24-MB01,24-MB03,24-WB02,24-WG088,24-UG03,MH01-XS-Black,MH01-XS-Gray,MH01-XS-Orange","24-MB01,24-MB03,24-WB02,24-WG088,24-UG03,MH01-XS-Black,MH01-XS-Gray,MH01-XS-Orange","24-MB01,24-MB03,24-WB02,24-WG088,24-UG03,MH01-XS-Black,MH01-XS-Gray,MH01-XS-Orange"
MH01-S-Gray,,Default,simple,"Default Category/Men/Tops/Hoodies & Sweatshirts,Default Category/Collections/Eco Friendly,Default Category",base,Chaz Kangeroo Hoodie-S-Gray,"<p>Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.</p>
<p>&bull; Two-tone gray heather hoodie.<br />&bull; Drawstring-adjustable hood. <br />&bull; Machine wash/dry.</p>","Si lo que buscás es algo que combine con todo, que te haga lucir bien y te ofrezca comodidad para elegirla diariamente, te presentamos lo que buscas: Las Zapatillas adidas 8K",1,1,Taxable Goods,Not Visible Individually,52,,,,chaz-kangeroo-hoodie-s-gray,,,,/m/h/mh01-gray_main.jpg,,/m/h/mh01-gray_main.jpg,,/m/h/mh01-gray_main.jpg,,,,,,,,,,,,,,,,,,,"has_options=0,required_options=0,size=S,color=Gray",100,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,1,,,,"/m/h/mh01-gray_alt1.jpg,/m/h/mh01-gray_back.jpg","24-MB01,24-MB03,24-WB02,24-WG088,24-UG03,MH01-XS-Black,MH01-XS-Gray,MH01-XS-Orange","24-MB01,24-MB03,24-WB02,24-WG088,24-UG03,MH01-XS-Black,MH01-XS-Gray,MH01-XS-Orange","24-MB01,24-MB03,24-WB02,24-WG088,24-UG03,MH01-XS-Black,MH01-XS-Gray,MH01-XS-Orange"
MH01-S-Orange,,Default,simple,"Default Category/Men/Tops/Hoodies & Sweatshirts,Default Category/Collections/Eco Friendly,Default Category,Default Category/Destacado Home 1,Default Category/Destacado Home 2,Default Category/Destacado Home 3,Default Category/Destacado Home 4,Default Category/Destacado Home 5",base,Chaz Kangeroo Hoodie-S-Orange,"<p>Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.</p>
<p>&bull; Two-tone gray heather hoodie.<br />&bull; Drawstring-adjustable hood. <br />&bull; Machine wash/dry.</p>","Si lo que buscás es algo que combine con todo, que te haga lucir bien y te ofrezca comodidad para elegirla diariamente, te presentamos lo que buscas: Las Zapatillas adidas 8K",1,1,Taxable Goods,Not Visible Individually,52,,,,chaz-kangeroo-hoodie-s-orange,,,,/m/h/mh01-orange_main.jpg,,/m/h/mh01-orange_main.jpg,,/m/h/mh01-orange_main.jpg,,,,,,,,,,,,,,,,,,,"has_options=0,required_options=0,size=S,color=Orange",100,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,1,,,,,"24-MB01,24-MB03,24-WB02,24-WG088,24-UG03,MH01-XS-Black,MH01-XS-Gray,MH01-XS-Orange","24-MB01,24-MB03,24-WB02,24-WG088,24-UG03,MH01-XS-Black,MH01-XS-Gray,MH01-XS-Orange","24-MB01,24-MB03,24-WB02,24-WG088,24-UG03,MH01-XS-Black,MH01-XS-Gray,MH01-XS-Orange"
MH01-M-Black,,Default,simple,"Default Category/Men/Tops/Hoodies & Sweatshirts,Default Category/Collections/Eco Friendly,Default Category",base,Chaz Kangeroo Hoodie-M-Black,"<p>Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.</p>
<p>&bull; Two-tone gray heather hoodie.<br />&bull; Drawstring-adjustable hood. <br />&bull; Machine wash/dry.</p>","Si lo que buscás es algo que combine con todo, que te haga lucir bien y te ofrezca comodidad para elegirla diariamente, te presentamos lo que buscas: Las Zapatillas adidas 8K",1,1,Taxable Goods,Not Visible Individually,52,,,,chaz-kangeroo-hoodie-m-black,,,,/m/h/mh01-black_main.jpg,,/m/h/mh01-black_main.jpg,,/m/h/mh01-black_main.jpg,,,,,,,,,,,,,,,,,,,"has_options=0,required_options=0,size=M,color=Black",100,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,1,,,,,"24-MB01,24-MB03,24-WB02,24-WG088,24-UG03,MH01-XS-Black,MH01-XS-Gray,MH01-XS-Orange","24-MB01,24-MB03,24-WB02,24-WG088,24-UG03,MH01-XS-Black,MH01-XS-Gray,MH01-XS-Orange","24-MB01,24-MB03,24-WB02,24-WG088,24-UG03,MH01-XS-Black,MH01-XS-Gray,MH01-XS-Orange"
MH01-M-Gray,,Default,simple,"Default Category/Men/Tops/Hoodies & Sweatshirts,Default Category/Collections/Eco Friendly,Default Category,Default Category/Destacado Home 1,Default Category/Destacado Home 2,Default Category/Destacado Home 3,Default Category/Destacado Home 4,Default Category/Destacado Home 5",base,Chaz Kangeroo Hoodie-M-Gray,"<p>Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.</p>
<p>&bull; Two-tone gray heather hoodie.<br />&bull; Drawstring-adjustable hood. <br />&bull; Machine wash/dry.</p>","Si lo que buscás es algo que combine con todo, que te haga lucir bien y te ofrezca comodidad para elegirla diariamente, te presentamos lo que buscas: Las Zapatillas adidas 8K",1,1,Taxable Goods,Not Visible Individually,52,,,,chaz-kangeroo-hoodie-m-gray,,,,/m/h/mh01-gray_main.jpg,,/m/h/mh01-gray_main.jpg,,/m/h/mh01-gray_main.jpg,,,,,,,,,,,,,,,,,,,"has_options=0,required_options=0,size=M,color=Gray",100,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,1,,,,"/m/h/mh01-gray_alt1.jpg,/m/h/mh01-gray_back.jpg","24-MB01,24-MB03,24-WB02,24-WG088,24-UG03,MH01-XS-Black,MH01-XS-Gray,MH01-XS-Orange","24-MB01,24-MB03,24-WB02,24-WG088,24-UG03,MH01-XS-Black,MH01-XS-Gray,MH01-XS-Orange","24-MB01,24-MB03,24-WB02,24-WG088,24-UG03,MH01-XS-Black,MH01-XS-Gray,MH01-XS-Orange"
MH01-M-Orange,,Default,simple,"Default Category/Men/Tops/Hoodies & Sweatshirts,Default Category/Collections/Eco Friendly,Default Category",base,Chaz Kangeroo Hoodie-M-Orange,"<p>Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.</p>
<p>&bull; Two-tone gray heather hoodie.<br />&bull; Drawstring-adjustable hood. <br />&bull; Machine wash/dry.</p>","Si lo que buscás es algo que combine con todo, que te haga lucir bien y te ofrezca comodidad para elegirla diariamente, te presentamos lo que buscas: Las Zapatillas adidas 8K",1,1,Taxable Goods,Not Visible Individually,52,,,,chaz-kangeroo-hoodie-m-orange,,,,/m/h/mh01-orange_main.jpg,,/m/h/mh01-orange_main.jpg,,/m/h/mh01-orange_main.jpg,,,,,,,,,,,,,,,,,,,"has_options=0,required_options=0,size=M,color=Orange",100,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,1,,,,,"24-MB01,24-MB03,24-WB02,24-WG088,24-UG03,MH01-XS-Black,MH01-XS-Gray,MH01-XS-Orange","24-MB01,24-MB03,24-WB02,24-WG088,24-UG03,MH01-XS-Black,MH01-XS-Gray,MH01-XS-Orange","24-MB01,24-MB03,24-WB02,24-WG088,24-UG03,MH01-XS-Black,MH01-XS-Gray,MH01-XS-Orange"
MH01-L-Black,,Default,simple,"Default Category/Men/Tops/Hoodies & Sweatshirts,Default Category/Collections/Eco Friendly,Default Category,Default Category/Destacado Home 1,Default Category/Destacado Home 2,Default Category/Destacado Home 3,Default Category/Destacado Home 4,Default Category/Destacado Home 5",base,Chaz Kangeroo Hoodie-L-Black,"<p>Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.</p>
<p>&bull; Two-tone gray heather hoodie.<br />&bull; Drawstring-adjustable hood. <br />&bull; Machine wash/dry.</p>","Si lo que buscás es algo que combine con todo, que te haga lucir bien y te ofrezca comodidad para elegirla diariamente, te presentamos lo que buscas: Las Zapatillas adidas 8K",1,1,Taxable Goods,Not Visible Individually,52,,,,chaz-kangeroo-hoodie-l-black,,,,/m/h/mh01-black_main.jpg,,/m/h/mh01-black_main.jpg,,/m/h/mh01-black_main.jpg,,,,,,,,,,,,,,,,,,,"has_options=0,required_options=0,size=L,color=Black",100,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,1,,,,,"24-MB01,24-MB03,24-WB02,24-WG088,24-UG03,MH01-XS-Black,MH01-XS-Gray,MH01-XS-Orange","24-MB01,24-MB03,24-WB02,24-WG088,24-UG03,MH01-XS-Black,MH01-XS-Gray,MH01-XS-Orange","24-MB01,24-MB03,24-WB02,24-WG088,24-UG03,MH01-XS-Black,MH01-XS-Gray,MH01-XS-Orange"
